,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0.0,0.0,0.0,1,0.0,5849,0.0,128.0,360.0,1.0,1.0,1
1,0.0,1.0,1.0,1,0.0,4583,1508.0,128.0,360.0,1.0,3.0,0
2,0.0,1.0,0.0,1,1.0,3000,0.0,66.0,360.0,1.0,1.0,1
3,0.0,1.0,0.0,0,0.0,2583,2358.0,120.0,360.0,1.0,1.0,1
4,0.0,0.0,0.0,1,0.0,6000,0.0,141.0,360.0,1.0,1.0,1
5,0.0,1.0,2.0,1,1.0,5417,4196.0,267.0,360.0,1.0,1.0,1
6,0.0,1.0,0.0,0,0.0,2333,1516.0,95.0,360.0,1.0,1.0,1
7,0.0,1.0,3.0,1,0.0,3036,2504.0,158.0,360.0,0.0,1.0,0
8,0.0,1.0,2.0,1,0.0,4006,1526.0,168.0,360.0,1.0,1.0,1
9,0.0,1.0,1.0,1,0.0,12841,10968.0,349.0,360.0,1.0,1.0,0
10,0.0,1.0,2.0,1,0.0,3200,700.0,70.0,360.0,1.0,1.0,1
11,0.0,1.0,2.0,1,0.0,2500,1840.0,109.0,360.0,1.0,1.0,1
12,0.0,1.0,2.0,1,0.0,3073,8106.0,200.0,360.0,1.0,1.0,1
13,0.0,0.0,0.0,1,0.0,1853,2840.0,114.0,360.0,1.0,3.0,0
14,0.0,1.0,2.0,1,0.0,1299,1086.0,17.0,120.0,1.0,1.0,1
15,0.0,0.0,0.0,1,0.0,4950,0.0,125.0,360.0,1.0,1.0,1
16,0.0,0.0,1.0,0,0.0,3596,0.0,100.0,240.0,1.0,1.0,1
17,1.0,0.0,0.0,1,0.0,3510,0.0,76.0,360.0,0.0,1.0,0
18,0.0,1.0,0.0,0,0.0,4887,0.0,133.0,360.0,1.0,3.0,0
19,0.0,1.0,0.0,1,0.0,2600,3500.0,115.0,360.0,1.0,1.0,1
20,0.0,1.0,0.0,0,0.0,7660,0.0,104.0,360.0,0.0,1.0,0
21,0.0,1.0,1.0,1,0.0,5955,5625.0,315.0,360.0,1.0,1.0,1
22,0.0,1.0,0.0,0,0.0,2600,1911.0,116.0,360.0,0.0,1.0,0
23,0.0,1.0,2.0,0,0.0,3365,1917.0,112.0,360.0,0.0,3.0,0
24,0.0,1.0,1.0,1,0.0,3717,2925.0,151.0,360.0,1.0,1.0,0
25,0.0,1.0,0.0,1,1.0,9560,0.0,191.0,360.0,1.0,1.0,1
26,0.0,1.0,0.0,1,0.0,2799,2253.0,122.0,360.0,1.0,1.0,1
27,0.0,1.0,2.0,0,0.0,4226,1040.0,110.0,360.0,1.0,1.0,1
28,0.0,0.0,0.0,0,0.0,1442,0.0,35.0,360.0,1.0,1.0,0
29,1.0,0.0,2.0,1,0.0,3750,2083.0,120.0,360.0,1.0,1.0,1
30,0.0,1.0,1.0,1,0.0,4166,3369.0,201.0,360.0,1.0,1.0,0
31,0.0,0.0,0.0,1,0.0,3167,0.0,74.0,360.0,1.0,1.0,0
32,0.0,0.0,1.0,1,1.0,4692,0.0,106.0,360.0,1.0,3.0,0
33,0.0,1.0,0.0,1,0.0,3500,1667.0,114.0,360.0,1.0,1.0,1
34,0.0,0.0,3.0,1,0.0,12500,3000.0,320.0,360.0,1.0,3.0,0
35,0.0,1.0,0.0,1,0.0,2275,2067.0,128.0,360.0,1.0,1.0,1
36,0.0,1.0,0.0,1,0.0,1828,1330.0,100.0,360.0,0.0,1.0,0
37,1.0,1.0,0.0,1,0.0,3667,1459.0,144.0,360.0,1.0,1.0,1
38,0.0,0.0,0.0,1,0.0,4166,7210.0,184.0,360.0,1.0,1.0,1
39,0.0,0.0,0.0,0,0.0,3748,1668.0,110.0,360.0,1.0,1.0,1
40,0.0,0.0,0.0,1,0.0,3600,0.0,80.0,360.0,1.0,1.0,0
41,0.0,0.0,0.0,1,0.0,1800,1213.0,47.0,360.0,1.0,1.0,1
42,0.0,1.0,0.0,1,0.0,2400,0.0,75.0,360.0,1.0,1.0,1
43,0.0,1.0,0.0,1,0.0,3941,2336.0,134.0,360.0,1.0,1.0,1
44,0.0,1.0,0.0,0,1.0,4695,0.0,96.0,360.0,1.0,1.0,1
45,1.0,0.0,0.0,1,0.0,3410,0.0,88.0,360.0,1.0,1.0,1
46,0.0,1.0,1.0,1,0.0,5649,0.0,44.0,360.0,1.0,1.0,1
47,0.0,1.0,0.0,1,0.0,5821,0.0,144.0,360.0,1.0,1.0,1
48,1.0,1.0,0.0,1,0.0,2645,3440.0,120.0,360.0,0.0,1.0,0
49,1.0,0.0,0.0,1,0.0,4000,2275.0,144.0,360.0,1.0,1.0,1
50,1.0,1.0,0.0,0,0.0,1928,1644.0,100.0,360.0,1.0,1.0,1
